"","TIMESTAMP","STATION","TEMP2MAVG","TEMP2MMIN","TEMP2MMAX","RELHUM2MAVG","RELHUM2MMAX","RELHUM2MMIN","PRECIP","SRAVG","WSPD2MAVG","WDIR2M","SOILTMP5AVG","VWC5CM","VWC10CM","VWC20CM","VWC50CM"
"65","08/08/2024","Colby",24.76,17.07,33.2,62.95,95.15,33.24,3.05,283.07,2.86,118.55,26.42,0.14429,0.22798,0.29925,0.45098
"66","08/09/2024","Colby",19.23,16.18,23.34,74.03,98.1,46.78,1.52,177.22,3.43,51.68,24.92,0.13981,0.22284,0.29663,0.45041
"67","08/10/2024","Colby",13.98,12.33,16.39,85.84,96.91,66.44,1.52,29.92,2.11,105.43,21.5,0.13485,0.21616,0.2921,0.44991
"68","08/11/2024","Colby",14.59,12.26,18.34,84.2,95.79,69.95,0,90.6,3.12,153.44,19.9,0.1333,0.2118,0.2875,0.44835
"69","08/12/2024","Colby",17.94,14.14,24.63,87.9,99.94,62.59,5.08,142.41,3.16,143.23,20.73,0.13567,0.212,0.28618,0.44646
"70","08/13/2024","Colby",19.07,13.68,24.76,89.12,99.93,66.26,4.32,148.17,2.45,82.98,21.51,0.14339,0.21348,0.28652,0.44548
"71","08/14/2024","Colby",23.31,18.54,29.49,80.03,99.1,58.23,0.76,204.87,3.68,128.2,23.07,0.17808,0.21665,0.288,0.44468
"72","08/15/2024","Colby",23.22,17.88,32.88,71.31,99.93,27.95,0,225.79,2.07,344.49,24.26,0.18711,0.21921,0.28956,0.4438
"73","08/16/2024","Colby",24.3,16.11,31.53,47.11,82.61,22.94,0,296.71,2.67,305.45,23.91,0.18289,0.2189,0.28984,0.44258
"74","08/17/2024","Colby",23.63,16.52,31.39,57.73,90.62,32.78,2.03,260.53,2.7,130.1,23.48,0.17569,0.2175,0.28942,0.44099
"75","08/18/2024","Colby",25.47,13.82,35.17,63.35,94.67,33.31,0,284.12,3.17,156.51,23.87,0.17107,0.21698,0.28911,0.43874
"76","08/19/2024","Colby",24.97,20.31,31.79,74.77,99.9,44.64,0,252.98,3.18,102.58,25.45,0.17068,0.21851,0.29054,0.4366
"77","08/20/2024","Colby",23.16,17.2,29.83,68.96,94.16,47.37,0,233.61,3.68,113.62,24.83,0.16639,0.21714,0.29036,0.43529
"78","08/21/2024","Colby",24.28,17.2,31.8,69.64,94.36,44.38,0,260.64,4.02,165.51,24.84,0.16343,0.21588,0.28921,0.43286
"79","08/22/2024","Colby",24.17,18.56,31.06,74.95,98.4,50.08,0,189.31,4.8,150.21,24.75,0.16088,0.21468,0.28844,0.43091
"80","08/23/2024","Colby",24.57,19.24,32.8,68.99,93.48,38.81,3.3,244.74,4.54,142.57,25.25,0.1603,0.21437,0.28793,0.4284
"81","08/24/2024","Colby",21.87,18.15,28.41,83.51,96.06,59.86,3.05,153.24,3.36,148.4,24.26,0.15948,0.21257,0.2869,0.42797
"82","08/25/2024","Colby",27.17,19.09,37.61,65.65,99.86,18.72,0,264.74,2.44,169.84,25.55,0.16363,0.21444,0.28667,0.42727
"83","08/26/2024","Colby",28.92,19.1,38.56,45.1,96.87,13.17,0,271.27,4.45,209.58,25.22,0.16203,0.21463,0.28666,0.42486
"84","08/27/2024","Colby",26.15,19.1,35.64,53.45,88.59,24.29,4.57,247.76,4.79,209.28,25.15,0.16041,0.21397,0.28559,0.4215
"85","08/28/2024","Colby",23.54,16.66,30.24,68.21,95.65,43.23,1.52,256.72,1.98,154.22,25.12,0.16376,0.21443,0.2848,0.4214
"86","08/29/2024","Colby",25.7,16.25,34.42,57.24,97.35,24.08,0,259.01,3.79,172.31,24.32,0.16331,0.21403,0.28395,0.4215
"87","08/30/2024","Colby",22.74,15.91,27,66.23,90.49,48.6,0,104.08,2.86,129.67,23.67,0.16028,0.21282,0.28262,0.42132
"88","08/31/2024","Colby",19.63,11.58,28.34,62.52,99.9,23.01,0,265.07,1.47,57.96,23.19,0.15815,0.21116,0.28073,0.42083
"89","09/01/2024","Colby",21.07,10.17,31.38,51.84,90.69,19.61,0,270.79,1.69,184.33,22.87,0.15523,0.20925,0.27904,0.41892
"90","09/02/2024","Colby",21.08,9.22,30.17,52.46,86.06,24.43,0,269.18,2.14,108.52,22.86,0.15283,0.20742,0.27767,0.41717
"91","09/03/2024","Colby",20.93,14.3,28.88,58.47,84.95,31.01,0,264.12,4.42,159.11,22.87,0.15113,0.20614,0.27691,0.41615
"92","09/04/2024","Colby",21.73,13.01,30.85,48.72,82.64,22.53,0,265.37,5.07,170.83,22.53,0.14866,0.20444,0.27535,0.41486
"93","09/05/2024","Colby",23.27,13.82,32.41,45.11,77.61,19.82,0,263.9,3.99,185.62,22.64,0.1469,0.20329,0.27389,0.41318
"94","09/06/2024","Colby",19.65,12.06,25.17,62.73,93.1,43.71,0,109.98,2.91,349.3,22.02,0.14427,0.2019,0.27288,0.41305
"95","09/07/2024","Colby",18.78,7.99,29.76,63.11,98.65,23.55,0,254.29,1.82,205.84,21.69,0.14204,0.2001,0.27056,0.41229
"96","09/08/2024","Colby",19.85,11.99,28.82,60.26,86.85,33.8,0,248.45,4.23,138.84,21.96,0.1403,0.19952,0.26997,0.41065
"97","09/09/2024","Colby",21.51,10.15,32.27,51.95,90.25,21.71,0,241.2,3.9,151.48,22.09,0.13881,0.19871,0.26918,0.40927
"98","09/10/2024","Colby",24.53,12.46,35.1,41.08,81.21,15.47,0,247.07,5.01,182.54,22.46,0.13752,0.19821,0.26863,0.40716
"99","09/11/2024","Colby",23.87,11.51,33.75,38.61,75.57,16.69,0,222.99,3.56,165.55,22.59,0.13544,0.19745,0.26807,0.40539
"100","09/12/2024","Colby",23.39,13.35,32.34,30.74,56,15,0,242.4,5.21,159.31,22.3,0.13274,0.19614,0.26714,0.40394
"101","09/13/2024","Colby",23.36,16.11,31.12,47.84,79.62,28.3,0,235.14,8.16,157.16,22.5,0.13098,0.19531,0.26639,0.40254
"102","09/14/2024","Colby",23.65,16.93,31.94,51.55,72.28,29.66,0,237.03,4.88,146.45,23.12,0.13003,0.19541,0.26628,0.40152
"103","09/15/2024","Colby",22.15,15.71,29.7,60.44,79.35,40.18,0,187.09,4.04,118,22.91,0.12819,0.19453,0.26611,0.40106
"104","09/16/2024","Colby",24.76,16.73,34.76,53.38,84.51,19.34,0.76,218.13,5.04,151.86,23.08,0.12748,0.19397,0.26552,0.40039
