"","Timestamp","Chlorophyll.Index","Arable.Field.Evapotranspiration..mm.","Arable.Canopy.Evapotranspiration..mm.","Growing.Degree.Days","Accumulated.Growing.Degree.Days","NDVI","Minimum.Relative.Humidity","Relative.Humidity.at.Max.Temp","Relative.Humidity.at.Min.Temp","Shortwave.Downwelling.Radiation","Max.Temp","Mean.Temp","Min.Temp","Max.Dew.Point.Temp","Max.Temp.Time","Min.Temp.Time","Precipitation","Precipitation.Hours","Cumulative.Precipitation","Sea.Level.Pressure","Vapor.Pressure.Deficit","Crop.Coefficient","Leaf.Wetness..Hours.","Dew.Temp","Crop.Water.Demand..mm.day.","Sun.Duration","Wind.Direction","Wind.Speed","Wind.Direction.Degrees","Max.Wind.Speed","Min.Wind.Speed"
"34","07/08/2024",2.12,0.29,0.25,19,1120,0.63,34,35,94,33,82,69,55,59,"2024-07-08T16:25:00Z","2024-07-08T06:25:00Z",0,0,3.17,1017,11,0.75,8,54,0,12.6,"SSW",2,194,3,1
"35","07/09/2024",1.89,0.32,0.24,19,1139,0.6,28,29,96,33,92,74,52,59,"2024-07-09T16:05:00Z","2024-07-09T06:25:00Z",0,0,3.17,1014,16,0.7,4,55,0,12.7,"S",2,180,3,0
"36","07/10/2024",1.76,0.32,0.22,23,1162,0.58,27,27,85,32,93,77,60,61,"2024-07-10T16:35:00Z","2024-07-10T06:25:00Z",0,0,3.17,1014,18,0.67,0,56,0,12.6,"SE",2,140,3,1
"37","07/11/2024",2.8,0.32,0.22,22,1183,0.73,32,33,97,32,91,76,57,65,"2024-07-11T17:10:00Z","2024-07-11T06:30:00Z",0,0,3.17,1014,16,0.89,5,59,0,12.6,"E",2,88,4,0
"38","07/12/2024",2.69,0.33,0.3,24,1207,0.71,25,26,85,31,97,81,62,65,"2024-07-12T17:50:00Z","2024-07-12T06:40:00Z",0,0,3.17,1010,22,0.86,0,59,0,12.5,"SE",3,136,4,2
"39","07/13/2024",2.4,0.34,0.29,24,1231,0.68,27,29,76,32,99,82,61,65,"2024-07-13T17:25:00Z","2024-07-13T06:20:00Z",0,0,3.17,1010,23,0.81,0,58,0,12.7,"SSE",2,157,3,1
"40","07/14/2024",2.61,0.31,0.26,25,1255,0.7,27,31,91,31,99,80,63,67,"2024-07-14T16:55:00Z","2024-07-14T06:05:00Z",0,2,3.2,1012,18,0.84,4,63,0,12.2,"S",3,180,6,1
"41","07/15/2024",2.23,0.34,0.29,26,1281,0.65,25,26,70,31,101,86,65,66,"2024-07-15T15:15:00Z","2024-07-15T06:35:00Z",0,0,3.2,1007,27,0.77,0,58,0,12.5,"SSE",2,149,4,0
"42","07/16/2024",3.11,0.26,0.2,27,1308,0.75,41,42,78,25,90,78,68,67,"2024-07-16T18:10:00Z","2024-07-16T06:50:00Z",0,2,3.21,1012,14,0.92,1,63,0,11.3,"E",2,89,6,0
"43","07/17/2024",3.27,0.24,0.22,23,1331,0.77,43,50,95,25,85,73,61,64,"2024-07-17T15:00:00Z","2024-07-17T04:55:00Z",0.1,2,3.28,1018,10,0.95,5,62,0,10.8,"SE",2,135,4,0
"44","07/18/2024",3.34,0.29,0.28,23,1353,0.78,39,41,97,30,89,75,60,63,"2024-07-18T16:15:00Z","2024-07-18T05:55:00Z",0,0,3.28,1019,12,0.96,8,61,0,12.3,"SSE",2,148,4,0
"45","07/19/2024",3.2,0.21,0.2,24,1377,0.77,40,42,91,22,91,73,61,65,"2024-07-19T14:30:00Z","2024-07-19T16:25:00Z",2,3,5.32,1016,10,0.95,4,62,2,9.6,"S",3,177,4,0
"46","07/20/2024",3.17,0.19,0.18,21,1398,0.77,55,56,91,20,81,70,61,66,"2024-07-20T16:15:00Z","2024-07-20T05:05:00Z",0.1,2,5.38,1018,6,0.95,6,62,0,10.8,"SSE",3,168,4,2
"47","07/21/2024",3.15,0.22,0.21,19,1417,0.77,44,49,98,23,80,69,58,64,"2024-07-21T17:20:00Z","2024-07-21T06:40:00Z",0,0,5.38,1020,8,0.94,9,59,0,11.6,"SE",2,129,3,0
"48","07/22/2024",3.22,0.23,0.22,20,1437,0.77,44,44,97,25,82,70,57,63,"2024-07-22T18:05:00Z","2024-07-22T05:30:00Z",0.1,2,5.44,1017,8,0.95,8,59,0,11.4,"S",1,170,3,0
"49","07/23/2024",3.08,0.26,0.25,21,1458,0.76,36,39,98,27,88,72,57,67,"2024-07-23T16:20:00Z","2024-07-23T05:55:00Z",0,0,5.44,1017,11,0.94,9,60,0,11.8,"SSW",1,193,2,0
"50","07/24/2024",3.25,0.29,0.27,22,1480,0.78,31,36,94,28,92,76,58,64,"2024-07-24T17:05:00Z","2024-07-24T06:30:00Z",0,0,5.44,1018,15,0.96,6,60,0,11.9,"SSW",2,196,3,1
"51","07/25/2024",3.24,0.29,0.27,22,1502,0.78,31,35,94,28,91,77,58,64,"2024-07-25T15:05:00Z","2024-07-25T06:35:00Z",0,0,5.44,1017,17,0.96,4,58,0,11.8,"S",3,174,4,1
"52","07/26/2024",3.39,0.3,0.28,24,1526,0.78,36,37,81,29,91,78,63,61,"2024-07-26T15:05:00Z","2024-07-26T06:45:00Z",0,2,5.47,1012,17,0.97,0,59,0,12.1,"SSE",4,162,6,2
"53","07/27/2024",3.32,0.28,0.27,27,1553,0.78,40,41,76,28,92,79,68,66,"2024-07-27T17:30:00Z","2024-07-27T05:55:00Z",0.1,2,5.52,1008,16,0.96,0,62,0,11.9,"SSE",5,163,6,4
"54","07/28/2024",3.23,0.3,0.28,24,1578,0.77,35,36,90,30,96,78,62,67,"2024-07-28T17:15:00Z","2024-07-28T07:00:00Z",0.1,6,5.6,1006,15,0.95,0,63,0,12.1,"SE",3,129,6,0
"55","07/29/2024",3.19,0.3,0.29,25,1603,0.76,37,37,87,30,94,80,65,66,"2024-07-29T16:40:00Z","2024-07-29T07:15:00Z",0,0,5.6,1007,17,0.94,0,63,0,12.2,"ESE",2,102,4,1
"56","07/30/2024",3.1,0.33,0.31,24,1627,0.77,20,21,91,31,100,82,62,66,"2024-07-30T17:05:00Z","2024-07-30T06:50:00Z",0,0,5.6,1004,21,0.95,3,60,0,12.2,"SW",2,214,3,1
"57","07/31/2024",3.35,0.31,0.29,25,1652,0.78,37,37,91,30,96,80,64,71,"2024-07-31T15:00:00Z","2024-07-31T23:55:00Z",0,1,5.63,1008,16,0.96,1,64,0,12.1,"S",2,169,5,1
"58","08/01/2024",3.19,0.29,0.28,22,1674,0.77,32,35,96,29,93,77,59,67,"2024-08-01T16:50:00Z","2024-08-01T06:30:00Z",0,0,5.63,1017,16,0.95,8,60,0,11.9,"SE",2,142,4,1
"59","08/02/2024",3.19,0.3,0.28,24,1698,0.77,33,33,90,29,95,80,62,65,"2024-08-02T17:00:00Z","2024-08-02T06:30:00Z",0,0,5.63,1019,19,0.94,1,61,0,11.9,"S",2,169,4,1
"60","08/03/2024",3.19,0.28,0.26,28,1727,0.77,33,35,71,26,94,81,70,64,"2024-08-03T16:30:00Z","2024-08-03T08:25:00Z",0,0,5.63,1015,20,0.94,0,60,0,10.1,"S",2,169,5,0
"61","08/04/2024",3.03,0.32,0.3,22,1748,0.76,23,24,95,30,98,80,58,63,"2024-08-04T15:35:00Z","2024-08-04T06:55:00Z",0,0,5.64,1013,21,0.93,4,58,0,12.2,"SSW",3,198,5,2
"62","08/05/2024",2.88,0.32,0.29,28,1776,0.74,22,24,63,28,103,86,70,64,"2024-08-05T16:20:00Z","2024-08-05T06:10:00Z",0,0,5.65,1011,27,0.91,0,59,0,11.6,"SSE",3,158,4,0
"63","08/06/2024",2.87,0.15,0.13,23,1799,0.73,44,44,90,15,85,73,62,63,"2024-08-06T18:25:00Z","2024-08-06T07:00:00Z",0,0,5.65,1018,10,0.89,2,61,0,10.8,"ENE",3,68,4,2
"64","08/07/2024",3.2,0.27,0.24,24,1824,0.77,42,44,90,28,91,77,63,67,"2024-08-07T17:55:00Z","2024-08-07T06:50:00Z",0.1,3,5.71,1012,13,0.94,0,63,0,11.2,"ESE",2,120,3,0
"65","08/08/2024",2.96,0.16,0.15,18,1842,0.74,54,54,74,18,74,67,62,67,"2024-08-08T17:50:00Z","2024-08-08T23:55:00Z",0.2,3,5.89,1020,5,0.91,9,59,0,10.4,"NE",3,49,5,2
"66","08/09/2024",3.58,0.03,0.03,8,1850,0.75,71,75,91,3,62,57,55,55,"2024-08-09T00:00:00Z","2024-08-09T15:15:00Z",0,3,5.91,1025,2,0.93,12,53,0,0.9,"E",2,100,3,0
"67","08/10/2024",2.98,0.07,0.07,11,1861,0.74,70,70,87,9,68,59,55,58,"2024-08-10T17:05:00Z","2024-08-10T09:50:00Z",0,0,5.91,1023,3,0.9,5,54,0,8.7,"SSE",2,159,3,1
"68","08/11/2024",2.97,0.11,0.1,17,1879,0.74,66,67,97,13,77,65,58,65,"2024-08-11T17:30:00Z","2024-08-11T02:45:00Z",0,1,5.93,1017,3,0.91,14,60,0,8.2,"SE",2,141,3,2
"69","08/12/2024",2.95,0.11,0.1,17,1895,0.74,70,70,98,14,77,66,57,67,"2024-08-12T18:55:00Z","2024-08-12T06:45:00Z",0.4,5,6.3,1017,3,0.91,14,63,0,11.4,"ESE",2,112,4,1
"70","08/13/2024",3.1,0.19,0.17,26,1921,0.75,63,63,96,20,85,74,67,71,"2024-08-13T18:15:00Z","2024-08-13T04:35:00Z",0.1,2,6.35,1013,6,0.93,9,68,0,11,"ESE",3,121,5,2
"71","08/14/2024",3.34,0.22,0.2,25,1946,0.78,38,49,94,22,91,73,63,69,"2024-08-14T17:55:00Z","2024-08-14T04:20:00Z",0,0,6.35,1011,8,0.97,11,64,0,10.7,"WSW",2,245,4,0
"72","08/15/2024",3.16,0.28,0.27,23,1969,0.77,33,37,85,29,86,74,60,59,"2024-08-15T17:50:00Z","2024-08-15T05:30:00Z",0,1,6.36,1013,14,0.95,0,56,0,11.7,"WSW",3,239,4,1
"73","08/16/2024",3.23,0.26,0.24,23,1992,0.77,41,42,85,26,89,74,61,63,"2024-08-16T16:40:00Z","2024-08-16T04:45:00Z",0.1,3,6.49,1014,12,0.95,0,59,0,10.9,"SE",2,142,4,1
"74","08/17/2024",3.13,0.28,0.27,21,2013,0.77,40,40,96,28,95,77,57,69,"2024-08-17T17:40:00Z","2024-08-17T07:00:00Z",0,0,6.5,1013,14,0.95,4,64,0,11.4,"SSE",2,164,4,1
"75","08/18/2024",3.08,0.24,0.23,27,2041,0.76,49,55,95,26,90,77,68,73,"2024-08-18T14:50:00Z","2024-08-18T06:45:00Z",0,1,6.51,1013,9,0.93,5,68,0,11.1,"E",3,97,5,2
"76","08/19/2024",3.06,0.22,0.21,24,2065,0.76,52,54,91,23,86,74,63,67,"2024-08-19T16:55:00Z","2024-08-19T07:10:00Z",0,0,6.52,1018,10,0.93,5,63,0,10.2,"ESE",3,113,5,0
"77","08/20/2024",3.21,0.25,0.23,24,2089,0.77,49,49,93,26,90,76,63,69,"2024-08-20T17:25:00Z","2024-08-20T07:05:00Z",0,0,6.52,1016,10,0.95,3,65,0,10.4,"SSE",3,159,4,2
"78","08/21/2024",3.01,0.19,0.18,26,2115,0.75,55,56,93,19,87,75,65,69,"2024-08-21T16:45:00Z","2024-08-21T06:05:00Z",0,6,6.56,1015,8,0.93,7,67,0,9.5,"SE",4,142,6,2
"79","08/22/2024",3.14,0.24,0.22,26,2141,0.77,46,46,88,25,91,77,67,69,"2024-08-22T15:40:00Z","2024-08-22T23:15:00Z",0.2,3,6.72,1013,11,0.95,1,65,0,10.2,"SE",3,140,5,2
"80","08/23/2024",2.95,0.14,0.13,24,2165,0.74,64,64,94,15,83,71,64,70,"2024-08-23T18:00:00Z","2024-08-23T07:25:00Z",0.2,4,6.89,1014,5,0.9,9,66,0,10.2,"SE",2,141,4,0
"81","08/24/2024",3.17,0.28,0.25,27,2191,0.77,26,30,96,26,99,80,67,72,"2024-08-24T16:45:00Z","2024-08-24T03:40:00Z",0,0,6.89,1010,16,0.95,9,66,0,10.3,"S",2,169,4,0
"82","08/25/2024",2.99,0.3,0.28,25,2216,0.76,19,23,88,27,101,83,63,71,"2024-08-25T16:55:00Z","2024-08-25T07:15:00Z",0,1,6.91,1012,24,0.93,3,59,0,10.6,"SSW",3,211,6,2
"83","08/26/2024",2.95,0.26,0.25,26,2242,0.75,30,31,86,25,96,79,66,64,"2024-08-26T16:40:00Z","2024-08-26T21:25:00Z",0.3,7,7.2,1017,17,0.93,0,61,0,9.7,"SSW",3,199,6,1
"84","08/27/2024",3.03,0.25,0.23,24,2265,0.76,47,47,95,25,89,75,62,67,"2024-08-27T16:25:00Z","2024-08-27T07:25:00Z",0.1,3,7.29,1018,10,0.93,6,63,0,11.2,"S",2,179,3,0
"85","08/28/2024",2.85,0.27,0.25,24,2289,0.75,30,31,96,26,95,78,61,66,"2024-08-28T16:35:00Z","2024-08-28T07:15:00Z",0,0,7.29,1012,17,0.91,6,61,0,11.2,"S",3,172,5,1
"86","08/29/2024",2.77,0.11,0.1,21,2310,0.72,56,58,91,10,82,73,61,69,"2024-08-29T12:15:00Z","2024-08-29T23:55:00Z",0,1,7.3,1013,9,0.87,2,62,0,7.8,"S",3,176,4,1
"87","08/30/2024",2.74,0.24,0.21,18,2328,0.74,30,33,97,25,83,68,53,59,"2024-08-30T16:10:00Z","2024-08-30T06:10:00Z",0,0,7.3,1022,10,0.91,9,53,0,10.7,"S",2,187,3,1
"88","08/31/2024",2.65,0.26,0.24,18,2346,0.74,25,29,95,26,89,70,48,58,"2024-08-31T15:05:00Z","2024-08-31T07:15:00Z",0,0,7.3,1020,15,0.9,5,51,0,11.1,"SSW",2,198,3,1
"89","09/01/2024",2.6,0.25,0.23,18,2364,0.73,31,33,94,26,87,69,47,58,"2024-09-01T15:20:00Z","2024-09-01T07:15:00Z",0,0,7.3,1022,13,0.89,4,52,0,11.1,"SE",2,146,4,1
"90","09/02/2024",2.47,0.23,0.21,21,2386,0.71,35,35,86,25,86,70,57,58,"2024-09-02T16:55:00Z","2024-09-02T07:20:00Z",0,0,7.3,1021,12,0.87,0,55,0,11.1,"SSE",3,157,4,2
"91","09/03/2024",2.49,0.25,0.22,21,2406,0.72,28,30,84,25,88,71,55,54,"2024-09-03T14:50:00Z","2024-09-03T04:55:00Z",0,0,7.3,1017,15,0.87,0,51,0,11,"S",4,173,5,2
"92","09/04/2024",2.38,0.26,0.23,21,2427,0.71,26,27,80,25,91,74,56,55,"2024-09-04T16:00:00Z","2024-09-04T04:50:00Z",0,0,7.3,1017,18,0.86,0,51,0,10.9,"S",3,190,5,2
"93","09/05/2024",2.44,0.11,0.09,15,2443,0.69,49,51,92,11,77,67,54,60,"2024-09-05T17:55:00Z","2024-09-05T23:55:00Z",0,0,7.3,1024,8,0.83,1,55,0,9.8,"SW",3,232,4,2
"94","09/06/2024",2.32,0.22,0.19,18,2461,0.7,28,29,97,24,88,66,45,60,"2024-09-06T17:10:00Z","2024-09-06T06:35:00Z",0,0,7.3,1025,11,0.84,9,51,0,10.7,"S",2,190,4,0
"95","09/07/2024",2.23,0.22,0.18,19,2480,0.69,37,38,86,24,85,68,54,57,"2024-09-07T17:10:00Z","2024-09-07T07:40:00Z",0,0,7.31,1020,11,0.83,0,53,0,10.7,"SE",3,132,4,2
"96","09/08/2024",2.12,0.22,0.18,18,2498,0.67,26,27,89,23,91,71,50,56,"2024-09-08T16:25:00Z","2024-09-08T07:30:00Z",0,0,7.31,1015,15,0.81,0,52,0,10.7,"SSE",3,152,4,1
"97","09/09/2024",1.96,0.25,0.2,21,2519,0.65,20,20,78,23,97,77,56,54,"2024-09-09T16:30:00Z","2024-09-09T07:40:00Z",0,0,7.31,1011,22,0.78,0,50,0,10.7,"S",3,186,6,2
"98","09/10/2024",1.83,0.23,0.18,20,2538,0.63,22,22,75,21,94,75,53,53,"2024-09-10T17:20:00Z","2024-09-10T07:25:00Z",0,0,7.31,1010,21,0.74,0,49,0,10.5,"SSE",3,168,4,1
"99","09/11/2024",1.68,0.24,0.18,21,2559,0.6,19,20,57,23,91,75,56,45,"2024-09-11T15:00:00Z","2024-09-11T07:25:00Z",0,0,7.31,1008,22,0.7,0,43,0,10.6,"SSE",4,158,6,2
"100","09/12/2024",1.58,0.22,0.15,23,2583,0.57,31,31,69,22,89,74,61,59,"2024-09-12T16:10:00Z","2024-09-12T06:35:00Z",0.1,8,7.42,1005,16,0.66,0,53,0,10.6,"SSE",6,154,8,4
"101","09/13/2024",1.45,0.22,0.14,24,2607,0.54,33,33,73,22,91,75,62,59,"2024-09-13T17:55:00Z","2024-09-13T07:20:00Z",0,3,7.45,1006,16,0.61,0,56,0,10.3,"SE",4,143,6,2
"102","09/14/2024",1.36,0.18,0.11,23,2629,0.51,42,42,74,18,86,73,59,62,"2024-09-14T16:20:00Z","2024-09-14T05:30:00Z",0,2,7.46,1012,12,0.57,0,58,0,10.3,"ESE",3,110,5,2
"103","09/15/2024",1.3,0.22,0.12,24,2654,0.5,24,28,84,21,96,77,62,61,"2024-09-15T16:05:00Z","2024-09-15T07:15:00Z",0,1,7.48,1010,17,0.55,0,57,0,9.9,"SE",4,145,6,2
"104","09/16/2024",1.27,0.2,0.11,25,2678,0.48,22,25,89,19,96,75,64,65,"2024-09-16T14:35:00Z","2024-09-16T07:30:00Z",0.2,3,7.7,1010,14,0.53,0,58,0,8.9,"SSE",4,153,5,2
